id,title,permalink
145,"Мемуары, биографии, воспоминания, письма",memoirs
146,"Энциклопедии, словари, справочники",reference
147,"Эзотерика и магия",esotherics
148,Наука,science
149,Медицина,med
150,"Гуманитарные науки",humanities
151,Психология,psy
152,Религиоведение,religionstudies
153,"Юриспруденция и право",legal
154,Социология,social
155,История,history
156,Философия,phylosophy
157,"Искусствоведение и эстетика",esthetics
158,Экономика,economics
159,Политология,politics
160,Педагогика,ped
161,"Литературоведение и языкознание",ling
162,"Естественные науки",naturalsciences
163,"Биология и экология",bio
164,Физика,physics
165,Астрономия,cosmos
166,"Геология и география",geo
167,Математика,math
168,Образование,education
169,"Высшее образование",highschool
170,"Школьное образование",school
171,Самообразование,selfeducation
172,"Дошкольное обучение",preschool
173,"Дом и семья",home
174,Строительство,build
175,"Сад, огород",garden
176,"Красота, здоровье, спорт",health
177,"Хобби и увлечения",hobby
178,Кулинария,food
179,Рукоделие,craft
180,"Бизнес ",business
181,Финансы,finance
182,"Бухгалтерский учет",accounting
183,Менеджмент,management
184,"Художественная литература",fiction
185,"Фольклор и мифология",myth
186,"Юмористическая литература",humour
187,"Военная литература",military
188,"Любовный роман",romance
189,"Исторический роман",historical
190,"Современная проза",modern
191,"Зарубежная литература",foreign
192,"Современная российская литература",soviets
193,"Литература советского периода",modernrussian
194,"Мистика и триллер",misticsthriller
195,"Детская литература",kids
196,"Зарубежная детская литература",foreignkids
197,"Классики для детей",classicskids
198,"Советские писатели для детей",sovietkids
199,"Современная литература для детей",modernkids
200,"Детективы и приключения",detective
201,"Приключенческая литература",adv
202,"Иронический детектив",ironicdetective
203,"Остросюжетный детектив",classicsdetective
204,Драматургия,drama
205,"Классическая драматургия",classicdrama
206,"Современная драматургия",moderndrama
207,"Классическая литература",classics
208,"Литература Средневековья и Возрождения",middleage
209,"Литература Древнего Востока и Античности",antique
210,"Русская классика",classicsrussian
211,"Литература Нового времени",newage
212,Поэзия,poetry
213,"Классическая поэзия",classicpoetry
214,"Современная поэзия",modernpoetry
215,"Фантастика и фэнтези",scififantasy
216,"Научная фантастика",scifi
217,Фэнтези,fantasy
218,"Детская фантастика",kidscifi
219,"Юмористическая фантастика",humorscifi
220,"Книги об искусстве",arts
221,Архитектура,arch
222,Театр,theatre
223,Кино,cinema
224,Музыка,music
225,"Для широкого круга читателей",others
226,Религия,religion
227,"Компьютерная литература",computers
228,"Публицистика (нон-фикшн)",nonfiction
229,Классика,http://ya.ru
